ก
กฏัตตากรรม	Kañattākamma
อรหัตตมรรค	Arahattamagga
อรหันต์, พระ	Arahanta
อรหันตฆาต	Arahantaghāta
อรัญวาสี	Araññavāsī
อริยทรัพย์	Ariyadhana
อริยบุคคล	Ariyapuggala
อริยผล	Ariyaphala
อริยมรรค	Ariyamagga
อริยสัจจ์	Ariyasacca
อรูปฌาน	Arūpajhāna
อรูปภพ ดู อรูปโลก.
อรูปราคะ	Arūparāga
อรูปโลก	Arūpaloka
อรูปาวจร	Arūpāvacara
อรูปาวจรภูมิ	Arūpāvacarabhūmi
อลัชชี	Alajjī
อโลภะ	Alobha
อวมงคล	Avamaṅgala
อวหาร	Avahāra
อวิชชา	Avijjā
อวิโรธนะ	Avirodhana
อวิหิงสา ดู อหิงสา.
อเวจี	Avīci
อสงไขย	Asaṅkheyya
อสทิสทาน	Asadisadāna
อสังขตธรรม	Asaṅkhatadhamma
อสุภะ	Asubha
อสุรกาย	Asurakāya
อเสขะ	Asekha
อหังการ	Ahaṁkāra
อหิงสา, อวิหิงสา	Ahiṁsā, Avihiṁsā
อเหตุกทิฏฐิ	Ahetukadiññhi
อโหสิกรรม	Ahosikamma
อักโกธะ	Akkodha
อัครสาวก	Aggasāvaka
อังคาร	Aṅgāra
อังคาส	Parivisana
อังคุตตรนิกาย	Aṅguttaranikāya
อังสะ	Aṁsa
อัจฉริยะ	Acchariya
อัญชลี ดู พนมมือ.
อัณฑชะ	Aṇóaja
อัตตกิลมถานุโยค	Attakilamathānuyoga
อัตตวาทุปาทาน	Attavādupādāna
อัตตสัมมาปณิธิ	Attasammāpaṇidhi
อัตตัญญุตา	Attaññutā
อัตตา	Attā
อัตตาธิปไตย	Attādhipateyya
อัตถะ	Attha
อัตถจริยา	Atthacariyā
อัตถปฏิสัมภิทา	Atthapañisambhidā
อัตถัญญุตา	Atthaññutā
อัตภาพ	Attabhāva
อันตคาหิกทิฏฐิ	Antagāhikadiññhi
อันตรวาสก	Antaravāsaka
อันตา	Antā
อันติมวัตถุ	Antimavatthu
อันเตวาสิก	Antevāsika
อัปปนาสมาธิ	Appanāsamādhi
อัปปมัญญา	Appamaññā
อัปปมาทะ	Appamāda
อัปปิจฉตา	Appicchatā
อัพโพหาริก	Abbohārika
อัพยากฤต	Abyākata; Avyākata
อัสสาทะ	Assāda
อัสสาสะ	Assāsa
อา–โอ
อากาส [ธาตุ]	âkāsa
อากาสานัญจายตนะ	âkāsānañcāyatana
อากิญจัญญายตนะ	âkiñcaññāyatana
อาคันตุกะ	âgantuka
อาฆาต	âghāta
อาจาระ	âcāra
อาจารย์	âcariya
อาจิณณกรรม	âciṇṇakamma
อาชชวะ honesty; integrity.
อาชีวก	âjīvaka
อาชีวปาริสุทธิศีล	âjīvapārisuddhisīla
อาตมัน	Attā; Sanskrit: âtman
อาทิกัมมิกะ	âdikammika
อาทิพรหมจรรย์	âdibrahmacariya
อาทีนพ, อาทีนวะ	âdīnava
อาเทสนาปาฏิหาริย์	âdesanāpāñihāriya
อานาปานสติ	ânāpānasati
อานิสงส์	ânisaṁsa
อาบัติ	âpatti
อาปัตตาธิกรณ์	âpattādhikaraṇa
อาโปธาตุ	âpodhātu
อามิส	âmisa
อามิสทาน	âmisadāna
อายตนะ	âyatana
ภายนอก: sense-objects and mind-object.
อายุ	âyu
อายุสังขาร	âyusaṅkhāra
อารมณ์	ârammaṇa
อารักขสัมปทา	ârakkhasampadā
อารามิก	ârāmika
อาสน์สงฆ์	Saṅghāsana*
อาสวะ	âsāva
อาสวักขยญาณ	âsavakkhayañāṇa
อาสันนกรรม	âsannakamma
อาสาฬหบูชา	âsāḷhapūjā
อาหาร	âhāra
อิจฉา	Icchā
อิติวุตตกะ	Itivuttaka
อิทธิ	Iddhi
อิทธิบาท	Iddhipāda
อิทธิปาฏิหาริย์	Iddhipāñihāriya
อิทธิวิธิ	Iddhividhi
อินทรีย์	Indriya
อินทรียสังวรศีล	Indriyasaṁvarasīla
อิริยาบถ	Iriyāpatha
อิสสา	Issā
อุกเขปนียกรรม	Ukkhepanīyakamma
อุคคหนิมิตต์	Uggahanimitta
อุจเฉททิฏฐิ	Ucchedadiññhi
อุฏฐานสัมปทา	Uññhānasampadā
อุตราสงค์	Uttarāsaṅga
อุตริมนุสธรรม	Uttarimanussadhamma
อุตุนิยาม	Utuniyāma
อุทเทสิกเจดีย์	Uddesikacetiya
อุทธัจจะ	Uddhacca
อุทธัจจกุกกุจจะ	Uddhaccakukkucca
อุทาน	Udāna
อุทิศกุศล, การ	Pattidāna, Dakkhiṇādisana
อุบาย	Upāya
อุบาสก	Upāsaka
อุบาสิกา	Upāsikā
อุเบกขา	Upekkhā
อุโบสถ	Uposatha
อุโบสถศีล	Uposathasīla
อุปกิเลส	Upakkilesa
อุปฆาตกกรรม	Upaghātakakamma
อุปจาร	Upacāra
อุปจารสมาธิ	Upacārasamādhi
อุปฐาก, อุปัฏฐาก	Upaññhāka
อุปนาหะ	Upanāha
อุปปัชชเวทนียกรรม	Upapajjavedanīyakamma
อุปปาทะ	Uppāda
อุปปีฬกกรรม	Upapīḷakakamma
อุปมา	Upamā
อุปสมบท	Upasampadā
อุปสัมบัน	Upasampanna
อุปัชฌาย์	Upajjhāya
อุปัตถัมภกกรรม	Upatthambhakakamma
อุปาทาน	Upādāna
อุปาทานขันธ์	Upādānakkhandha
อุปาทายรูป	Upādāyarūpa
อุปาทินนกะ	Upādinnaka
อุปายาส	Upāyāsa
อุพเพคาปีติ; อุพเพงคาปีติ	Ubbegāpīti; Ubbeṅgāpīti
เอกัคคตา	Ekaggatā
เอตทัคคะ	Etadagga
โอกกันติกาปีติ	Okkantikāpīti
โอชา	Ojā
โอตตัปปะ	Ottappa
โอปปาติกะ	Opapātika
โอวาท	Ovāda
โอวาทปาฏิโมกข์	Ovādapāñimokkha
