นิวยอร์ก	new-yɔ̂ɔk
กระทรวงคมนาคม	krà-suang-khá-má-naa-khom
กระทรวงเกษตรและสหกรณ์	krà-suang-kà-sèet-lɛ́-sà-hà-kɔɔn
กห	kra-suang-ka-laa-hǒom
กระทรวงกลาโหม	krà-suang-kà-laa-hǒom
กระทรวงการต่างประเทศ	krà-suang-kaan-tàang-prà-thêet
กระทรวงการคลัง	krà-suang-kaan-khlang
กระทรวง	krà-suang
กระสวน	krà-sǔan
กระสอบ	krà-sɔ̀ɔp
กระโซกระเซ	krà-soo-krà-see
กระซ่องกระแซ่ง	krà-sɔ̂ng-krà-sɛ̂ng
กระเสาะกระแสะ	krà-sɔ̀-krà-sɛ̀
กระซิบกระซาบ	krà-síp-krà-sâap
กระซิบ	krà-síp
กระซิกๆ	krà-sík-krà-sík
กระซิกกระซี้	krà-sík-krà-síi
กระซิก	krà-sík
กระเสียน	krà-sǐan
กระเส็นกระสาย	krà-sěn-krà-sǎay
กระเซ็น	krà-sen
กระเซอะกระเซิง	krà-sə́-krà-səəng
กระแสตรง	krà-sɛ̌ɛ-trong
กระแสทวน	krà-sɛ̌ɛ-thuan
กระเสด	krà-sèet
กระแสเสียง	krà-sɛ̌ɛ-sǐang
กระแสสลับ	krà-sɛ̌ɛ-sà-làp
กระแสรับสั่ง	krà-sɛ̌ɛ-ráp-sàng
กระแสรายวัน	krà-sɛ̌ɛ-raay-wan
กระแสพระราชดำรัส	krà-sɛ̌ɛ-phrá-râat-chá-dam-ràt
กระแสง	krà-sɛ̌ɛng
กระเซิง	krà-səəng
กระแสน้ำ	krà-sɛ̌ɛ-náam
กระเษมสานต์	krà-sěem-sǎan
กระแสลม	krà-sɛ̌ɛ-lom
กระแสความคิด	krà-sɛ̌ɛ-khwaam-khít
กระแสความ	krà-sɛ̌ɛ-khwaam
กระแสข่าว	krà-sɛ̌ɛ-khàaw
กระแสการเงิน	krà-sɛ̌ɛ-kaan-ngən
กระแสไฟฟ้า	krà-sɛ̌ɛ-fay-fáa
กระแสไฟ	krà-sɛ̌ɛ-fay
กระแสจิต	krà-sɛ̌ɛ-cìt
กระแส	krà-sɛ̌ɛ
กระเซอ	krà-səə
กระแซะ	krà-sɛ́
กระสือดูด	krà-sʉ̌ʉ-dùut
กระษัย	krà-sǎy
กระเซ้ากระซี้	krà-sáw-krà-síi
กระเส่า	krà-sàw
กระเซ้า	krà-sáw
กระสับกระส่าย	krà-sàp-krà-sàay
กระซับ	krà-sáp
กระสัน	krà-sǎn
กระเสือกกระสน	krà-sʉ̀ak-krà-sǒn
กระสาย	krà-sǎay
กระสาบ	krà-sàap
กระษาปณ์	krà-sàap
กระสา	krà-sǎa
กระสะ	krà-sà
กระสือ	krà-sʉ̌ʉ
กระรอก	krà-rɔ̂ɔk
กระเหรี่ยง	krà-rìang
กระไร	krà-ray
กระปุ่มกระป่ำ	krà-pùm-krà-pàm
กระปุกออมสิน	krà-pùk-ɔɔm-sǐn
กระปุกหลุก	krà-pùk-lùk
กระปุก	krà-pùk
กระปั้วกระเปี้ย	krà-pûa-krá-pîa
กระโปรงหน้ารถ	krà-proong-nâa-rót
กระโปรงหลังรถ	krà-proong-lǎng-rót
กระโปรงชั้นใน	krà-proong-chán-nay
กระโปรง	krà-proong
กระปรี้กระเปร่า	krà-prîi-krà-pràw
กระปอดกระแปด	krà-pɔ̀ɔt-krà-pɛ̀ɛt
กระป้อกระแป้	krà-pɔ̂ɔ-krà-pɛ̂ɛ
กระปอก	krà-pɔ̀ɔk
กระโปก	krà-pòok
กระป๋องน้ำ	krà-pɔ̌ng-náam
กระป๋อง	krà-pɔ̌ng
กระปมกระเปา	krà-pom-krà-paw
กระปมกระปำ	krà-pom-krà-pam
กระเปาะเหลาะ	krà-pɔ̀-lɔ̀
กระเปาะ	krà-pɔ̀
กระพุ้งแก้ม	krà-phúng-kɛ̂ɛm
กระพุ้ง	krà-phúng
กระพุ่มมือ	krà-phûm-mʉʉ
กระพุ่ม	krà-phûm
กระพรวน	krà-phruan
กระพริบ	krà-phríp
กระพือปีก	krà-phʉʉ-pìik
กระเพาะปลา	krà-phɔ́-plaa
กระเพาะปัสสาวะ	krà-phɔ́-pàt-sǎa-wá
กระพอง	krà-phɔɔng
กระพอก	krà-phɔ̂ɔk
กระผม	krà-phǒm
กระเพาะอาหาร	krà-phɔ́-aa-hǎan
กระเพาะ	krà-phɔ́
กระผลีกระผลาม	krà-phlǐi-krà-phlǎam
กระพือข่าว	krà-phʉʉ-khàaw
กระผีก	krà-phìik
กระพี้	krà-phíi
กระแพ้ง	krà-phɛ́ɛng
กระพัง	krà-phang
กระเพื่อม	krà-phʉ̂am
กระพือ	krà-phʉʉ
กระเป๋าธนบัตร	krà-pǎw-thá-ná-bàt
กระเป๋าถือ	krà-pǎw-thʉ̌ʉ
กระเป๋าสตางค์	krà-pǎw-sà-taang
กระเป๋าสะพาย	krà-pǎw-sà-phaay
กระเป๋าเสื้อ	krà-pǎw-sʉ̂a
กระเป๋ารถเมล์	krà-pǎw-rót-mee
กระเป๋ารถ	krà-pǎw-rót
กระเป๋านักเรียน	krà-pǎw-nák-rian
กระเป๋าหนัก	krà-pǎw-nàk
กระเป๋าน้ำร้อน	krà-pǎw-náam-rɔ́ɔn
กระเป๋ากางเกง	krà-pǎw-kaang-keeng
กระเป๋าหิ้ว	krà-pǎw-hîw
กระเป๋าแห้ง	krà-pǎw-hɛ̂ɛng
กระเป๋าไฟฟ้า	krà-pǎw-fay-fáa
กระเป๋าเอกสาร	krà-pǎw-èek-kà-sǎan
กระเป๋าเดินทาง	krà-pǎw-dəən-thaang
กระเป๋าฉีก	krà-pǎw-chìik
กระเป๋า	krà-pǎw
กรับ	kràp
กระออดกระแอด	krà-ɔ̀ɔt-krà-ɛ̀ɛt
กระอ้อมกระแอ้ม	krà-ɔ̂ɔm-krà-ɛ̂ɛm
กระหนุงกระหนิง	krà-nǔng-krà-nǐng
กระโน้น	krà-nóon
กระนี้	krà-níi
กระเหนียด	krà-nìat
กระง่อนกระแง่น	krà-ngɔ̂n-krà-ngɛ̂n
กระง่องกระแง่ง	krà-ngɔ̂ng-krà-ngɛ̂ng
กระเง้ากระงอด	krà-ngáw-krà-ngɔ̂ɔt
กรัง	krang
กระแนะกระแหน	krà-nɛ́-krà-nɛ̌ɛ
กระแหนะกระแหน	krà-nɛ̀-krà-nɛ̌ɛ
กระนั้น	krà-nán
กระหน่ำ	krà-nàm
กระหนาบคาบเกี่ยว	krà-nàap-khâap-kìaw
กระหนาบ	krà-nàap
กรัน	kran
กรัณฑ์	kran
กรัณย์	kran
กระหมุบกระหมิบ	krà-mùp-krà-mìp
กระหมวด	krà-mùat
กระมอมกระแมม	krà-mɔɔm-krà-mɛɛm
กระหม่อม	krà-mɔ̀m
กร่ำกรุ่น	kràm-krùn
กระมิดกระเมี้ยน	krà-mít-krà-mían
กระหมิบ	krà-mìp
กระแหม่วท้อง	krà-mɛ̀w-thɔ́ɔng
กระแหม่ว	krà-mɛ̀w
กระเหม็ดกระเหมียด	krà-mèt-krà-mìat
กระเหม็ดกระแหม่	krà-mèt-krà-mɛ̀ɛ
กระเหม่น	krà-mèn
กรำแดด	kram-dɛ̀ɛt
กระเหม่า	krà-màw
กระมัง	krà-mang
กร่ำ	kràm
ก.	kram
กรำ	kram
กรัม	kram
กระลุมพุก	krà-lum-phúk
กระแหล่ง	krà-lɛ̀ng
กระอึกกระอัก	krà-ʉ̀k-krà-àk
กรัก	kràk
กระอิดกระเอื้อน	krà-ìt-krà-ʉ̂an
กระหืดกระหอบ	krà-hʉ̀ʉt-krà-hɔ̀ɔp
กระโหย	krà-hǒoy
กระหึ่ม	krà-hʉ̀m
กระหึม	krà-hʉ̌m
กระเหี้ยนกระหือรือ	krà-hîan-krà-hʉ̌ʉ-rʉʉ
กระหัด	krà-hàt
กระหัง	krà-hǎng
กระหายน้ำ	krà-hǎay-náam
กระหายเลือด	krà-hǎay-lʉ̂at
กระหาย	krà-hǎay
กระฟัดกระเฟียด	krà-fát-krà-fîat
กระแอบ	krà-ɛ̀ɛp
กระแอม	krà-ɛɛm
กระแอก	krà-ɛ̀ɛk
กระดูกเทอร์บิเนต	krà-duuk-thəə-bì-nêet
กระดูกซี่โครง	krà-dùuk-sîi-khroong
กระดูกสันหลัง	krà-dùuk-sǎn-lǎng
กระดูกโหนกแก้ม	krà-dùuk-nòok-kɛ̂ɛm
กระดูกงู	krà-dùuk-nguu
กระดูกนำเสียง	krà-dùuk-nam-sǐang
กระดูกหน้าผาก	krà-dùuk-nâa-phàak
กระดูกโกลน	krà-dùuk-kloon
กระดูกคอ	krà-dùuk-khɔɔ
กระดูกขัดมัน	krà-dùuk-khàt-man
กระดูกเชิงกราน	krà-dùuk-chəəng-kraan
กระดูก	krà-dùuk
กระดุม	krà-dum
กระดวง	krà-duang
กระด้วมกระเดี้ยม	krà-dûam-krà-dîam
กระดืบ	krà-dʉ̀ʉp
กระโดดสูง	krà-dòot-sǔung
กระโดดร่ม	krà-dòot-rôm
กระโดดโลดเต้น	krà-dòot-lôot-tên
กระโดดไกล	krà-dòot-klay
กระโดด	krà-dòot
กระโดงคาง	krà-doong-khaang
กระดองหาย	krà-dɔɔng-hǎay
กระดอง	krà-dɔɔng
กระโดง	krà-doong
กระดอน	krà-dɔɔn
กระโดกกระเดก	krà-dòok-krà-dèek
กระดอ	krà-dɔɔ
กระด้ง	krà-dông
กระดกกระดนโด่	krà-dòk-krà-don-dòo
กระดก	krà-dòk
กระเดาะ	krà-dɔ̀
กระดึง	krà-dʉng
กระดิบๆ	krà-dìp-krà-dìp
กระดิบ	krà-dìp
กระดิ่ง	krà-dìng
กระดิกกระเดี้ย	krà-dìk-krà-dîa
กระดิก	krà-dìk
กระดี๊กระด๊า	krà-díi-krà-dáa
กระดี่	krà-dìi
กระเดียด	krà-dìat
กระแด่วๆ	krà-dɛ̀w-krà-dɛ̀w
กระเด้ง	krà-dêng
กระเด็น	krà-den
กระเดิด	krà-də̀ət
กระแดะ	krà-dɛ̀
กระได	krà-day
กระดังงา	krà-dang-ngaa
กระเดื่อง	krà-dʉ̀ang
กระดำกระด่าง	krà-dam-krà-dàang
กระดักกระเดี้ย	krà-dàk-krà-dîa
กระเดือก	krà-dʉ̀ak
กระดาษว่าว	krà-dàat-wâaw
กระดาษสี	krà-dàat-sǐi
กระดาษซับมัน	krà-dàat-sáp-man
กระดาษซับ	krà-dàat-sáp
กระดาษทราย	krà-dàat-saay
กระดาษสา	krà-dàat-sǎa
กระดาษโรเนียว	krà-dàat-roo-niaw
กระดาษปอนด์	krà-dàat-pɔɔn
กระดาษเงินกระดาษทอง	krà-dàat-ngən-krà-dàat-thɔɔng
กระดาษหนังสือพิมพ์	krà-dàat-nang-sʉ̌ʉ-phim
กระดาษกรอง	krà-dàat-krɔɔng
กระดาษข่อย	krà-dàat-khɔ̀y
กระดาษเขียนจดหมาย	krà-dàat-khǐan-còt-mǎay
กระดาษเขียนแบบ	krà-dàat-khǐan-bɛ̀ɛp
กระดาษแข็ง	krà-dàat-khɛ̌ng
กระดาษไข	krà-dàat-khǎy
กระดาษแก้ว	krà-dàat-kɛ̂ɛw
กระดาษกาว	krà-dàat-kaaw
กระดาษฟาง	krà-dàat-faang
กระดาษเช็ดปาก	krà-dàat-chét-pàak
กระดาษชำระ	krà-dàat-cham-rá
กระดาษชานอ้อย	krà-dàat-chaan-ɔ̂ɔy
กระดาษอาร์ต	krà-dàat-áat
กระดาษ	krà-dàat
กระดานโต้คลื่น	krà-daan-tôo-khlʉ̂ʉn
กระดานถีบ	krà-daan-thìip
กระดานหมากรุก	krà-daan-màak-rúk
กระดานลื่น	krà-daan-lʉ̂ʉn
กระดานหก	krà-daan-hòk
กระด้างกระเดื่อง	krà-dâang-krà-dʉ̀ang
กระด้าง	krà-dâang
กระดานไฟ	krà-daan-fay
กระดานดำ	krà-daan-dam
กระดานชนวน	krà-daan-chá-nuan
กระดาน	krà-daan
กระดากกระเดื่อง	krà-dàak-krà-dʉ̀ang
กระดากใจ	krà-dàak-cay
กระดากอาย	krà-dàak-aay
กระดาก	krà-dàak
กระจุย	krà-cuy
กระจู๋กระจี๋	krà-cǔu-krà-cǐi
กระจู้	krà-cûu
กระจุบกระจิบ	krà-cùp-krà-cìp
กระจุ๊บ	krà-cúp
กระจุ๋งกระจิ๋ง	krà-cǔng-krà-cǐng
กระจุ๋มกระจิ๋ม	krà-cǔm-krà-cǐm
กระจุกกระจุย	krà-cùk-krà-cuy
กระจุกกระจิก	krà-cùk-krà-cìk
กระจุก	krà-cùk
กระจ้อยร่อย	krà-cɔ̂y-rɔ̂y
กระจ้อย	krà-cɔ̂y
กระจองอแง	krà-cɔɔ-ngɔɔ-ngɛɛ
กระโจน	krà-coon
กระโจมทอง	krà-coom-thɔɔng
กระโจมอก	krà-coom-òk
กระโจมกระจาม	krà-coom-krà-caam
กระโจมไฟ	krà-coom-fay
กระโจม	krà-coom
กระจอกเทศ	krà-cɔ̀ɔk-thêet
กระจอกงอกง่อย	krà-cɔ̀ɔk-ngɔ̂ɔk-ngɔ̂y
กระจอก	krà-cɔ̀ɔk
กระจง	krà-cong
กระจกเว้า	krà-còk-wáw
กระจกตา	krà-còk-taa
กระจกส่อง	krà-còk-sɔ̀ng
กระจกสะท้อนแสง	krà-còk-sà-thɔ́ɔn-sɛ̌ɛng
กระจกรถ	krà-còk-rót
กระจกนูน	krà-còk-nuun
กระจกเงา	krà-còk-ngaw
กระจกหน้ารถยนต์	krà-còk-nâa-rót-yon
กระจกหน้ารถ	krà-còk-nâa-rót
กระจกหลัง	krà-còk-lǎng
กระจกหุง	krà-còk-hǔng
กระจกฝ้า	krà-còk-fâa
กระจก	krà-còk
กระจิ๋วหลิว	krà-cǐw-lǐw
กระจิริด	krà-cì-rìt
กระจิบ	krà-cìp
กระเจี๊ยว	krà-cíaw
กระเจี๊ยบ	krà-cíap
กระชุ่มกระชวย	krà-chûm-krà-chuay
กระชุก	krà-chúk
กระชุ	krà-chú
กระชดกระช้อย	krà-chót-krà-chɔ́ɔy
กระชอน	krà-chɔɔn
กระชอมดอก	krà-chɔɔm-dɔ̀ɔk
กระโชกกระชั้น	krà-chôok-krà-chán
กระโชกกระชาก	krà-chôok-krà-châak
กระโชกโฮกฮาก	krà-chôok-hôok-hâak
กระฉอก	krà-chɔ̀ɔk
กระโชก	krà-chôok
กระฉ่อน	krà-chɔ̀n
กระฉิ่ง	krà-chìng
กระเชียง	krà-chiang
กระเฉด	krà-chèet
กระแชง	krà-chɛɛng
กระเชอ	krà-chəə
กระเช้าสวรรค์	krà-cháw-sa-wǎn
กระเช้าไฟฟ้า	krà-cháw-fay-fáa
กระเช้า	krà-cháw
กระฉับกระเฉง	krà-chàp-krà-chěeng
กระชับ	krà-cháp
กระชัง	krà-chang
กระชั้นชิด	krà-chán-chít
กระชั้น	krà-chán
กระชากเสียง	krà-châak-sǐang
กระชาก	krà-châak
กระเจิดกระเจิง	krà-cə̀ət-krà-cəəng
กระเจิง	krà-cəəng
กระแจะ	krà-cɛ̀
กระจัดพลัดพราย	krà-càt-phlát-phraay
กระจัดกระจาย	krà-càt-krà-caay
กระจัด	krà-càt
กระจับปี่	krà-càp-pìi
กระจับ	krà-càp
กระจายเสียง	krà-caay-sǐang
กระจายอำนาจ	krà-caay-am-nâat
กระจาย	krà-caay
กระจาด	krà-càat
กระจาบ	krà-càap
กระจ่างแจ้ง	krà-càang-cɛ̂ɛng
กระจ่าง	krà-càang
กระจะ	krà-cà
กระบู้กระบี้	krà-bûu-krà-bîi
กระบุง	krà-bung
กระบุ่มกระบ่าม	krà-bùm-krà-bàam
กระบวย	krà-buay
กระบวนความ	krà-buan-khwaam
กระบวนการยุติธรรม	krà-buan-kaan-yút-tì-tham
กระบวนการเรียนรู้	krà-buan-kaan-rian-rúu
กระบวนการ	krà-buan-kaan
กระบวนแห่	krà-buan-hɛ̀ɛ
กระบวนจีน	krà-buan-ciin
กระบวน	krà-buan
กระบวร	krà-buan
กระบองเพชร	krà-bɔɔng-phét
กระบอง	krà-bɔɔng
กระบอกโทรศัพท์	krà-bɔ̀ɔk-thoo-rá-sàp
กระบอกตา	krà-bɔ̀ɔk-taa
กระบอกสูบ	krà-bɔ̀ɔk-sùup
กระบอกเสียง	krà-bɔ̀ɔk-sǐang
กระบอกปืน	krà-bɔ̀ɔk-pʉʉn
กระบอกเพลา	krà-bɔ̀ɔk-phlaw
กระบอกไม้ไผ่	krà-bɔ̀ɔk-máay-phày
กระบอกฉีด	krà-bɔ̀ɔk-chìit
กระบอก	krà-bɔ̀ɔk
กระบิดกระบวน	krà-bìt-krà-buan
กระบิด	krà-bìt
กระบิล	krà-bin
กระบี่ธุช	krà-bìi-thút
กระบี่กระบอง	krà-bìi-krà-bɔɔng
กระบี่	krà-bìi
กระเบียดกระเสียร	krà-bìat-krà-sǐan
กระเบียด	krà-bìat
กระบิ	krà-bì
กระแบะมือ	krà-bɛ̀-mʉʉ
กระเบนเหน็บ	krà-been-nèp
กระเบน	krà-been
กระเบื้องยาง	krà-bʉ̂ang-yaang
กระเบื้องปรุ	krà-bʉ̂ang-prù
กระเบื้องมุงหลังคา	krà-bʉ̂ang-mung-lǎng-khaa
กระเบื้องลอน	krà-bʉ̂ang-lɔɔn
กระเบื้องเคลือบ	krà-bʉ̂ang-khlʉ̂ap
กระเบื้องดินเผา	krà-bʉ̂ang-din-phǎw
กระเบื้อง	krà-bʉ̂ang
กระบัง	krà-bang
กระบาล	krà-baan
กระบะ	krà-bà
กระบือ	krà-bʉʉ
กระไอกระแอม	krà-ay-krà-ɛɛm
กระไอ	krà-ay
กร่าย	kràay
กราย	kraay
กราวรูด	kraaw-rûut
กร้าว	krâaw
กราว	kraaw
กราดเกรี้ยว	kràat-krîaw
กราด	kràat
กราบไหว้	kràap-wâay
กราบทูล	kràap-thuun
กราบเท้า	kràap-tháaw
กราบเรียน	kràap-rian
กราบพระ	kràap-phrá
กราบลา	kràap-laa
กราบกราน	kràap-kraan
กราบบังคมทูลพระกรุณา	kràap-bang-khom-thuun-phrá-kà-rú-naa
กราบ	kràap
กราฟ	kráap
กรานกฐิน	kraan-ka-thǐn
กร่าง	kràang
กราง	kraang
กร้าน	krâan
กราน	kraan
กรามช้าง	kraam-cháang
กราม	kraam
กระอักกระอ่วน	krà-àk-krà-ùan
กระอักกระไอ	krà-àk-krà-ay
กระอัก	krà-àk
กราก	kràak
กราดวง	kraa-duang
กระ	krà
กฎยุทธวินัย	kòt-yút-tha-wí-nay
กฎธรรมชาติ	kòt-tham-ma-châat
กฎทบวง	kòt-tha-buang
กฎศีลธรรม	kòt-sǐin-la-tham
กฎระเบียบ	kòt-rá-bìap
กดราคา	kòt-raa-khaa
กดออด	kòt-ɔ̀ɔt
กดน้ำ	kòt-náam
กฎหมู่	kòt-mùu
กฎมนเทียรบาล	kòt-mon-thian-baan
กฎหมายแรงงาน	kòt-mǎay-rɛɛng-ngaan
กฎหมายระหว่างประเทศ	kòt-mǎay-rá-wàang-prà-thêet
กฎหมายแพ่ง	kòt-mǎay-phɛ̂ng
กฎหมายพาณิชย์	kòt-mǎay-phaa-nít
กฎหมายอาญา	kòt-mǎay-aa-yaa
ก.ม.	kòt-mǎay
กฎหมาย	kòt-mǎay
กดกริ่ง	kòt-krìng
กฎกระทรวง	kòt-krà-suang
กฎข้อบังคับ	kòt-khɔ̂ɔ-bang-kháp
กดคอ	kòt-khɔɔ
กดขี่ข่มเหง	kòt-khìi-khòm-hěeng
กดขี่	kòt-khìi
กฎเกณฑ์	kòt-keen
เกาะติด	kɔ̀-tìt
กดหัว	kòt-hǔa
กฎแห่งกรรม	kòt-hɛ̀ng-kam
กดดัน	kòt-dan
กฎจราจร	kòt-ca-raa-cɔɔn
กฎบัตรสหประชาชาติ	kòt-bàt-sà-hà-prà-chaa-châat
กฎบัตร	kòt-bàt
กฎอัยการศึก	kòt-ay-ya-kaan-sʉ̀k
กอซ	kɔ́t
กด	kòt
กฎ	kòt
กบไสไม้	kòp-sǎy-máay
กบเหลาดินสอ	kòp-lǎw-din-sɔ̌ɔ
กบดาน	kòp-daan
กบ	kòp
กอหญ้า	kɔɔ-yâa
ก้อย	kɔ̂ɔy
โกย	kooy
ก่อหวอด	kɔ̀ɔ-wɔ̀ɔt
ก่อวินาศกรรม	kɔ̀ɔ-wí-nâat-sa-kam
โกหวา	koo-wǎa
ก่อตัว	kɔ̀ɔ-tua
กอดรัด	kɔ̀ɔt-rát
กอดอก	kɔ̀ɔt-òk
กอดมือกอดตีน	kɔ̀ɔt-mʉʉ-kɔ̀ɔt-tiin
กอดแข้งกอดขา	kɔ̀ɔt-khɛ̂ng-kɔ̀ɔt-khǎa
กอดจูบ	kɔ̀ɔt-cùup
ก่อตั้ง	kɔ̀ɔ-tâng
ก็ตาม	kɔ̂ɔ-taam
กอด	kɔ̀ɔt
โกศ	kòot
โกฏิ	kòot
ก่อสร้าง	kɔ̀ɔ-sâang
ก้อร่อก้อติก	kɔ̂ɔ-rɔ̂ɔ-kɔ̂ɔ-tìk
โกโรโกโส	koo-roo-koo-sǒo
โกโรโกโรค	koo-roo-koo-rôok
ก้อร่อ	kɔ̂ɔ-rɔ̂ɔ
กอริลลา	kɔ̀ɔ-rin-laa
ก่อฤกษ์	kɔ̀ɔ-rə̂ək
กรณียกิจ	kɔɔ-ra-nii-ya-kìt
กรณีที่	kɔɔ-ra-nii-thîi
กรณีศึกษา	kɔɔ-ra-nii-sʉ̀k-sǎa
กรณีพิพาท	kɔɔ-ra-nii-phí-phâat
กรณีจำเป็น	kɔɔ-ra-nii-cam-pen
กรณี	kɔɔ-ra-nii
กรณีย์	kɔɔ-ra-nii
ก่อเรื่อง	kɔ̀ɔ-rʉ̂ang
กรกฎ	kɔɔ-ra-kòt
ก่อร่างสร้างตัว	kɔ̀ɔ-râang-sâang-tua
กอบมือ	kɔ̀ɔp-mʉʉ
กอบกู้	kɔ̀ɔp-kûu
กอบโกย	kɔ̀ɔp-kooy
ก่อปัญหา	kɔ̀ɔ-pan-hǎa
กอบ	kɔ̀ɔp
กอปร	kɔ̀ɔp
กอล์ฟ	kɔ́ɔp
ก่อนเวลา	kɔ̀ɔn-wee-laa
ก่อนที่จะ	kɔ̀ɔn-thîi-cà
ก่อนที่	kɔ̀ɔn-thîi
ก่อนเที่ยง	kɔ̀ɔn-thîang
ก้อนเส้า	kɔ̂ɔn-sâw
ก่อนเพื่อน	kɔ̀ɔn-phʉ̂an
ก้อนเนื้องอก	kɔ̂ɔn-nʉ́a-ngɔ̂ɔk
ก่อนหน้านี้	kɔ̀ɔn-nâa-níi
ก่อนหน้า	kɔ̀ɔn-nâa
ก่อนอื่น	kɔ̀ɔn-ʉ̀ʉn
กรมเอเซียตะวันออก	kɔɔn-má-ee-sia-tà-wan-ɔ̀ɔk
ก้อนกรวด	kɔ̂ɔn-krùat
ก่อนคริสต์ศักราช	kɔ̀ɔn-khrít-sàk-ka-ràat
ก้อนขี้หมา	kɔ̂ɔn-khîi-mǎa
ก่อนกำหนด	kɔ̀ɔn-kam-nòt
ก้อนอิฐ	kɔ̂ɔn-ìt
ก้อนหิน	kɔ̂ɔn-hǐn
ตม.	kɔɔng-trùat-khon-khâw-mʉang
กบข.	kɔɔng-thun-bam-nèt-bam-naan-khâa-râat-cha-kaan
กองทุนบำเหน็จบำนาญข้าราชการ	kɔɔng-thun-bam-nèt-bam-naan-khâa-râat-cha-kaan
กองทุน	kɔɔng-thun
ทร.	kɔɔng-tháp-rʉa
กองทัพเรือ	kɔɔng-tháp-rʉa
กองทัพน้อย	kɔɔng-tháp-nɔ́ɔy
กองทัพมด	kɔɔng-tháp-mót
ทบ.	kɔɔng-tháp-bòk
กองทัพบก	kɔɔng-tháp-bòk
กองทัพอากาศ	kɔɔng-tháp-aa-kàat
กองทัพ	kɔɔng-tháp
กองทหาร	kɔɔng-tha-hǎan
กองร้อย	kɔɔng-rɔ́ɔy
กองเรือรบ	kɔɔng-rʉa-róp
โก่งราคา	kòong-raa-khaa
กองเรือ	kɔɔng-rʉa
กองปราบ	kɔɔng-pràap
กองพลน้อย	kɔɔng-phon-nɔ́ɔy
กองพล	kɔɔng-phon
กองพะเนิน	kɔɔng-phá-nəən
กองพัน	kɔɔng-phan
กองหนุน	kɔɔng-nǔn
โกงเงิน	koong-ngən
กองมรดก	kɔɔng-mɔɔ-ra-dòk
กองหลัง	kɔɔng-lǎng
กองกูณฑ์	kɔɔng-kuun
กองกลาง	kɔɔng-klaang
โกงกิน	koong-kin
กองเกียรติยศ	kɔɔng-kìat-tì-yót
โก้งโค้ง	kôong-khóong
กองข้าว	kɔɔng-khâaw
กองเกิน	kɔɔng-kəən
กองกำลังตำรวจ	kɔɔng-kam-lang-tam-rùat
กองกำลัง	kɔɔng-kam-lang
โกงกาง	koong-kaang
กองฟอน	kɔɔng-fɔɔn
กองไฟ	kɔɔng-fay
กองโจร	kɔɔng-coon
กองเชียร์	kɔɔng-chia
กองบุญ	kɔɔng-bun
กองบรรณาธิการ	kɔɔng-ban-naa-thí-kaan
บก.จร.	kɔɔng-bang-kháp-kaan-tam-rùat-ca-raa-cɔɔn
กองบัญชาการทหารสูงสุด	kɔɔng-ban-chaa-kaan-tha-hǎan-sǔung-sùt
กองบัญชาการ	kɔɔng-ban-chaa-kaan
กองพะเนินเทินทึก	kɔɔ-ngá-phá-nəən-thəən-thʉ́k
กอ.รมน.	kɔɔng-am-nuay-kaan-rák-sǎa-khwaam-mân-khong-phaay-nay
กองอำนวยการ	kɔɔng-am-nuay-kaan
กอง	kɔɔng
โก่ง	kòong
โกง	koong
ก้อนดิน	kɔ̂ɔn-din
ก่อนอาหาร	kɔ̀ɔn-aa-hǎan
ก่อน	kɔ̀ɔn
ก้อน	kɔ̂ɔn
กร	kɔɔn
โก่น	kòon
โกน	koon
โกเมน	koo-meen
โกลาหล	koo-laa-hǒn
ก่อกวน	kɔ̀ɔ-kuan
โกโก้	koo-kôo
โกกเกก	kòok-kèek
ก่อความวุ่นวาย	kɔ̀ɔ-khwaam-wûn-waay
ก่อเกิด	kɔ̀ɔ-kə̀ət
โก้เก๋	kôo-kěe
ก่อกรรมทำเข็ญ	kɔ̀ɔ-kam-tham-khěn
ก่อกำเนิด	kɔ̀ɔ-kam-nə̀ət
ก่อกรรม	kɔ̀ɔ-kam
ก่อการร้าย	kɔ̀ɔ-kaan-ráay
ก่อการ	kɔ̀ɔ-kaan
ก่ออิฐ	kɔ̀ɔ-ìt
กอเอี๊ยะ	kɔɔ-ía
โกหกพกลม	koo-hòk-phók-lom
โกหก	koo-hòk
ก่อเหตุ	kɔ̀ɔ-hèet
ก่อให้เกิด	kɔ̀ɔ-hây-kə̀ət
ก่อไฟ	kɔ̀ɔ-fay
ก็ดี	kɔ̂ɔ-dii
โกดัง	koo-dang
ก็ได้	kɔ̂ɔ-dâay
ก็ช่าง	kɔ̂ɔ-châang
ก็	kɔ̂ɔ
ก่อ	kɔ̀ɔ
ก้อ	kɔ̂ɔ
กอ	kɔɔ
โก้	kôo
โก่	kòo
โก	koo
กลยุทธ	kon-yú-thót
ก้นย้อย	kôn-yɔ́ɔy
กลอุปกรณ์	kon-ùp-pa-kɔɔn
กลอุบาย	kon-ù-baay
ก้นถุง	kôn-thǔng
ก้นตะกรน	kôn-tà-kron
ก่นสร้าง	kòn-sâang
ก้นปอด	kôn-pɔ̀ɔt
กลลวง	kon-luang
กลยุทธ์เชิงรุก	kon-la-yút-chəəng-rúk
กลยุทธ์	kon-la-yút
กลวิธี	kon-la-wí-thii
กลศาสตร์	kon-la-sàat
กลเม็ดเด็ดพราย	kon-la-mét-dèt-phraay
กลเม็ด	kon-la-mét
